CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1, 9, 1, 1, 0, 0, 0, 0, -50, -48, 4294806.890, 4294812.139, 97.432, 113.784, 113.784, 113.784, "[1,9,1,9,3,9,2,10,3,9,2,9,3,8,3,8,3,8,4,8,6,9,6,8,6,8,6,7,6,8,8,7,8,6,8,6,8,5,9,6,10,6,10,5,9,5,12,4,12,5,13,4,0,0,14,3,15,3,16,2,16,1,16,2,18,2,18,2,18,1,19,1,18,1,21,1,20,2,20,1,22,2,21,2,23,2,24,2,23,3,22,4,22,4,22,6,22,6,22,8,23,8,21,9,20,9,0,0,23,-2,22,-2,23,-3,24,-2,23,-1,22,-1,22,-1,20,-1,21,0,20,-1,22,-1,21,-2,20,-1,20,-1,19,0,20,-2,18,-2,18,-1,18,-2,18,-1,18,-1,18,-2,17,-2,17,-3,18,-3,18,-4,0,0,17,-2,17,-3,17,-3,17,-2,17,-3,17,-2,16,-2,15,-2,16,-2,15,-1,16,-2,14,-1,14,-1,14,-2,14,-1,14,-1,14,-1,14,-2,13,-1,13,-1,12,-1,12,-1,13,0,13,0,12,1,12,1,0,0]"
CSI_DATA: 2, 12, 1, 1, 0, 0, 0, 0, -45, -39, 4294815.512, 4294821.805, 294.895, 304.180, 190.396, 304.180, "[-13,15,-11,16,-9,16,-11,16,-9,14,-9,14,-8,13,-7,12,-6,12,-4,11,-4,12,-3,12,-2,11,-2,10,-2,9,1,10,1,9,2,8,2,8,2,7,2,8,3,7,3,6,4,5,4,5,4,4,0,0,5,2,5,1,6,0,6,-2,6,-2,6,-3,6,-5,6,-6,6,-7,7,-8,8,-11,9,-11,10,-12,11,-13,11,-14,13,-17,13,-17,15,-17,16,-17,17,-17,19,-17,20,-17,21,-16,22,-17,24,-14,25,-14,0,0,-1,-18,-1,-18,-2,-18,-1,-18,-2,-17,-1,-17,-2,-16,-2,-15,-2,-15,-3,-14,-4,-15,-5,-15,-6,-14,-5,-13,-5,-14,-7,-13,-7,-12,-7,-11,-8,-11,-9,-11,-9,-11,-10,-11,-10,-11,-12,-9,-13,-10,-14,-10,0,0,-16,-9,-16,-10,-17,-9,-18,-8,-19,-9,-20,-10,-21,-10,-20,-10,-22,-10,-23,-10,-25,-9,-23,-11,-24,-11,-25,-12,-25,-12,-27,-13,-27,-13,-27,-14,-26,-15,-25,-16,-25,-17,-24,-18,-25,-18,-26,-18,-24,-20,-23,-20,0,0]"
CSI_DATA: 3, 11, 1, 1, 1, 1, 1, 0, -46, -37, 594.915, 601.408, 211.866, 954.880, 650.700, 213.441, "[-7,16,-7,16,-5,16,-7,17,-6,17,-6,16,-5,15,-5,14,-5,14,-3,13,-3,15,-2,14,-2,13,-1,13,-2,12,0,11,1,10,0,9,1,9,0,8,0,7,1,6,2,5,2,3,3,2,3,1,0,0,4,-1,4,-3,5,-5,5,-5,6,-6,7,-7,7,-8,7,-9,9,-10,9,-11,11,-13,11,-12,12,-13,12,-14,13,-13,15,-16,14,-16,15,-14,16,-14,16,-13,17,-13,16,-13,17,-12,18,-13,19,-10,19,-10,0,0,-9,3,-10,3,-9,3,-10,3,-9,3,-10,3,-10,2,-10,2,-10,2,-9,3,-11,3,-11,3,-11,3,-11,3,-11,2,-11,3,-11,3,-11,2,-12,3,-12,3,-12,2,-12,3,-12,2,-12,4,-13,4,-13,4,0,0,-13,4,-13,3,-14,4,-13,4,-13,4,-14,4,-13,4,-13,4,-14,4,-12,4,-14,5,-13,4,-13,4,-13,4,-13,4,-14,5,-13,4,-14,5,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-13,4,-14,3,0,0]"
CSI_DATA: 4, 12, 2, 2, 1, 1, 1, 0, -39, -34, 591.165, 597.658, 311.247, 1054.162, 99.282, 312.723, "[-2,-13,-2,-13,-3,-13,-3,-14,-3,-13,-3,-13,-3,-12,-3,-11,-4,-11,-4,-10,-5,-11,-5,-10,-5,-10,-6,-9,-5,-9,-6,-9,-6,-8,-6,-7,-6,-7,-6,-7,-6,-6,-6,-6,-5,-5,-6,-4,-7,-4,-6,-3,0,0,-6,-1,-6,-1,-6,0,-5,1,-5,1,-5,2,-5,3,-4,4,-4,5,-4,6,-4,8,-4,8,-4,10,-4,12,-5,12,-5,15,-5,15,-6,16,-7,16,-8,16,-9,17,-10,17,-11,17,-12,19,-14,17,-15,17,0,0,-2,11,-1,11,0,10,-1,11,-1,10,0,11,0,10,0,10,0,10,1,10,2,11,2,10,2,10,3,10,2,10,3,10,4,10,3,9,4,10,4,10,4,10,5,10,5,9,6,9,6,10,8,10,0,0,8,10,8,10,9,10,9,10,9,11,10,11,9,11,10,11,10,11,10,11,11,12,10,11,10,12,11,13,10,13,11,14,11,13,11,15,10,14,9,14,9,15,8,14,8,15,9,16,7,16,7,16,0,0]"
CSI_DATA: 5, 9, 3, 3, 2, 2, 2, 0, -50, -48, 1321.784, 1328.305, 113.850, 1596.803, 542.641, 115.364, "[-9,3,-9,4,-9,4,-10,4,-9,5,-9,4,-9,5,-8,5,-8,5,-7,6,-8,7,-7,7,-7,8,-7,8,-7,7,-6,10,-4,9,-5,9,-4,10,-5,10,-4,10,-3,12,-3,11,-1,13,-2,14,-2,14,0,0,1,14,0,15,1,16,2,16,1,16,1,18,2,18,2,18,3,18,3,18,4,20,2,19,3,20,2,20,3,21,4,22,4,23,2,22,1,22,1,22,-1,22,0,22,-2,22,0,23,-3,22,-3,21,0,0,18,12,17,12,18,11,18,13,16,12,16,12,16,12,14,11,15,11,14,10,16,11,15,10,15,10,14,10,14,10,16,8,14,8,13,8,15,8,14,8,14,9,14,7,14,8,15,6,16,8,16,7,0,0,15,7,14,7,15,8,14,7,14,7,14,8,14,7,13,7,13,7,12,6,14,7,11,6,11,6,12,6,12,6,12,6,11,6,11,6,11,6,11,6,10,6,10,6,9,6,10,6,9,7,9,8,0,0]"
CSI_DATA: 6, 12, 3, 3, 2, 2, 2, 0, -38, -35, 1331.191, 1337.712, 311.182, 1794.132, 197.329, 312.693, "[-8,7,-7,7,-6,8,-7,8,-6,7,-6,7,-6,7,-5,7,-5,7,-4,7,-4,8,-3,8,-4,8,-3,8,-3,7,-2,8,-2,7,-2,7,-1,7,-1,7,-1,7,0,7,-1,6,1,6,1,6,2,6,0,0,3,5,3,5,4,5,5,4,4,4,6,4,6,3,7,3,8,2,8,2,10,2,10,2,11,2,12,2,13,2,14,2,15,3,15,3,15,4,16,5,16,7,17,7,16,8,17,8,16,10,15,11,0,0,-10,7,-10,7,-9,8,-10,8,-9,7,-9,8,-9,8,-8,7,-8,8,-7,8,-8,9,-7,9,-7,9,-7,9,-7,9,-6,9,-6,10,-6,9,-5,10,-6,10,-6,10,-5,10,-5,10,-3,11,-4,12,-4,12,0,0,-3,13,-3,12,-3,13,-2,13,-3,14,-3,14,-3,15,-3,15,-3,15,-3,15,-2,16,-3,15,-4,16,-4,17,-4,17,-4,18,-4,18,-5,18,-6,18,-6,17,-7,17,-7,16,-8,17,-8,17,-10,17,-10,17,0,0]"
CSI_DATA: 7, 9, 4, 4, 3, 3, 3, 0, -50, -48, 2061.735, 2068.246, 114.23, 2336.855, 542.723, 115.416, "[0,9,1,9,2,9,2,10,2,9,2,9,3,8,3,8,3,9,4,8,4,8,5,8,5,8,6,8,6,7,7,7,7,6,7,6,8,6,9,6,8,6,10,5,9,5,11,4,12,6,13,5,0,0,13,3,15,3,16,3,16,2,16,3,17,3,17,3,17,3,18,3,17,2,20,2,19,4,20,3,21,3,21,4,22,4,23,5,22,4,21,5,20,6,21,7,20,8,20,8,21,9,19,10,19,10,0,0,1,21,1,22,2,21,1,23,0,20,-1,21,-1,21,-1,19,-1,19,0,18,0,20,0,19,0,19,0,18,-1,18,1,18,2,17,1,16,2,17,1,17,1,17,1,17,1,16,3,16,2,17,3,17,0,0,3,17,2,16,2,17,3,16,2,16,1,16,1,16,1,15,1,15,1,14,2,15,1,13,1,14,1,13,1,13,1,13,1,13,1,12,1,12,1,12,0,12,0,12,0,12,0,12,-1,12,-2,12,0,0]"
CSI_DATA: 8, 11, 2, 2, 2, 2, 3, 0, -46, -36, 2074.902, 2081.414, 211.948, 2435.664, 98.809, 214.225, "[-11,-1,-12,0,-11,1,-12,0,-11,0,-11,0,-11,0,-10,0,-10,1,-9,1,-10,1,-9,2,-9,2,-8,2,-7,1,-7,2,-6,2,-6,2,-5,2,-4,2,-4,2,-3,2,-2,1,-1,1,-1,2,0,2,0,0,2,1,3,1,4,1,5,1,5,1,6,2,7,2,8,1,8,2,9,2,10,2,10,2,10,2,11,3,11,2,13,3,13,3,13,4,12,4,12,4,12,5,12,5,12,5,13,5,11,6,11,6,0,0,-4,-10,-4,-10,-4,-10,-4,-11,-4,-10,-4,-11,-4,-11,-3,-10,-4,-11,-4,-10,-4,-12,-4,-11,-4,-11,-4,-11,-4,-12,-5,-12,-5,-12,-4,-11,-4,-12,-4,-12,-4,-12,-5,-12,-4,-12,-5,-12,-5,-13,-6,-13,0,0,-6,-13,-6,-13,-6,-14,-6,-13,-6,-14,-6,-14,-6,-14,-6,-14,-6,-14,-6,-14,-7,-15,-6,-14,-6,-13,-6,-14,-6,-14,-7,-14,-7,-14,-7,-14,-6,-14,-6,-14,-6,-14,-6,-14,-6,-14,-7,-14,-5,-14,-5,-15,0,0]"
CSI_DATA: 9, 12, 4, 4, 3, 3, 3, 0, -39, -36, 2071.172, 2077.683, 311.321, 2534.147, 98.483, 312.708, "[17,-9,16,-10,14,-12,16,-11,14,-11,14,-11,13,-11,12,-11,12,-11,10,-12,11,-13,10,-13,10,-14,9,-13,9,-12,7,-15,5,-14,5,-13,4,-13,4,-13,4,-13,3,-14,2,-12,0,-13,0,-14,-1,-13,0,0,-3,-12,-4,-12,-6,-12,-7,-10,-7,-10,-9,-10,-10,-10,-11,-9,-13,-9,-14,-9,-16,-9,-17,-10,-19,-10,-21,-11,-22,-11,-25,-12,-26,-12,-26,-13,-26,-16,-26,-16,-27,-20,-27,-20,-27,-23,-28,-23,-25,-26,-24,-26,0,0,17,5,17,4,17,3,18,4,16,4,17,3,17,3,16,2,16,2,15,1,17,1,17,0,17,-1,16,-1,16,0,17,-3,15,-3,15,-2,16,-3,16,-3,16,-3,16,-4,16,-4,16,-7,17,-6,17,-8,0,0,17,-8,17,-9,18,-10,18,-10,19,-10,19,-10,19,-10,19,-10,20,-11,20,-11,22,-13,21,-11,21,-11,22,-12,23,-11,23,-12,24,-12,25,-11,25,-10,25,-9,26,-8,25,-8,26,-7,27,-8,27,-5,28,-3,0,0]"
CSI_DATA: 10, 13, 1, 1, 3, 1, 3, 0, -38, -44, 2064.870, 2071.381, 408.79, 2630.945, 96.798, 409.506, "[2,-5,2,-5,2,-6,3,-6,3,-6,3,-6,3,-7,3,-6,3,-6,2,-7,3,-7,2,-8,2,-8,2,-8,2,-7,2,-9,1,-9,1,-8,1,-9,1,-9,2,-9,1,-10,1,-9,-1,-11,1,-11,0,-12,0,0,0,-12,0,-13,0,-13,-1,-13,0,-13,0,-13,0,-14,1,-13,0,-14,0,-14,0,-15,1,-14,1,-14,1,-14,1,-15,0,-15,0,-15,0,-15,1,-14,1,-14,2,-15,1,-15,2,-15,1,-16,2,-15,2,-15,0,0,-6,1,-6,1,-5,2,-6,2,-6,2,-6,2,-6,2,-5,2,-6,2,-5,2,-6,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-5,2,-6,2,-5,3,-5,3,-5,3,-6,3,-6,3,0,0,-6,4,-6,4,-6,4,-6,4,-7,5,-7,4,-7,4,-7,4,-7,5,-7,5,-7,5,-7,5,-7,5,-8,5,-7,5,-8,6,-8,6,-8,6,-9,6,-9,6,-9,5,-9,5,-10,6,-10,6,-10,5,-10,5,0,0]"
