CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-29,-27,4294812.300,4294819.174,0.117,22.535,22.535,22.535,"[-4,12,-4,13,-3,13,-4,15,-4,14,-4,15,-4,14,-4,14,-5,15,-4,14,-4,16,-4,16,-4,16,-4,16,-5,16,-3,16,-3,16,-3,15,-3,16,-4,16,-4,16,-3,16,-4,15,-2,16,-3,17,-2,18,0,0,-2,17,-2,17,-2,18,-1,17,-2,18,-2,18,-2,17,-2,17,-2,18,-2,17,-2,18,-3,16,-4,16,-4,17,-4,16,-4,16,-4,15,-4,15,-5,14,-5,13,-5,13,-5,12,-5,11,-4,11,-5,10,-4,10,0,0,-4,-9,-5,-9,-6,-8,-7,-9,-7,-8,-7,-9,-8,-8,-8,-8,-9,-8,-9,-8,-11,-8,-11,-8,-11,-8,-11,-7,-12,-8,-13,-7,-13,-7,-13,-7,-14,-6,-14,-7,-14,-7,-15,-6,-15,-7,-15,-5,-16,-6,-17,-5,0,0,-18,-4,-18,-5,-19,-4,-19,-3,-19,-4,-20,-4,-20,-4,-20,-4,-21,-4,-20,-4,-22,-3,-21,-5,-21,-5,-22,-5,-23,-5,-23,-5,-23,-5,-23,-6,-22,-7,-22,-7,-22,-8,-21,-9,-21,-10,-20,-9,-20,-11,-19,-11,0,0]"
CSI_DATA: 2,6,1,1,0,0,0,0,-40,-46,4294813.13,4294819.905,296.689,311.968,311.968,311.968,"[-8,28,-8,28,-5,26,-8,27,-6,25,-6,23,-6,22,-5,20,-5,20,-4,18,-4,18,-3,17,-2,15,-2,14,-3,14,-1,11,-1,10,-1,8,-2,9,-2,6,-2,6,-2,5,-2,3,-3,2,-3,3,-4,1,0,0,-6,-1,-5,-1,-6,-2,-7,-2,-9,-4,-9,-4,-10,-4,-11,-6,-13,-5,-13,-6,-16,-6,-15,-7,-17,-8,-18,-8,-19,-8,-22,-9,-22,-9,-24,-10,-24,-9,-24,-10,-26,-11,-26,-12,-26,-12,-29,-12,-30,-14,-30,-14,0,0,-8,-14,-7,-13,-7,-12,-6,-12,-4,-10,-4,-9,-3,-8,-3,-6,-2,-5,-2,-4,-3,-3,-2,-2,-2,-1,-3,0,-2,1,-2,1,-2,2,-3,3,-3,4,-2,4,-3,4,-2,5,-2,6,-2,6,-1,7,0,7,0,0,0,8,1,8,1,9,1,9,1,10,2,11,3,11,3,12,3,13,4,13,4,14,3,13,4,14,4,14,4,15,5,16,5,15,5,16,5,17,5,16,5,18,6,17,6,18,7,19,5,21,5,22,0,0]"
CSI_DATA: 3,4,1,1,0,0,0,0,-32,-31,4294813.23,4294819.915,296.957,363.115,363.115,363.115,"[-11,3,-11,3,-10,4,-11,4,-10,4,-10,5,-10,5,-9,5,-9,5,-9,6,-9,7,-9,7,-8,7,-8,7,-9,7,-8,8,-7,8,-7,8,-7,9,-7,9,-7,9,-6,9,-6,9,-5,10,-5,10,-5,11,0,0,-4,11,-4,12,-3,13,-3,12,-3,13,-2,13,-2,14,-2,14,-1,15,-1,14,-1,16,-2,16,-2,16,-2,18,-2,17,-2,19,-2,19,-3,19,-4,19,-5,19,-5,19,-6,19,-7,19,-7,20,-8,18,-9,18,0,0,1,-17,0,-17,-1,-17,0,-17,0,-17,0,-16,-1,-16,-1,-15,-1,-15,-2,-14,-2,-16,-3,-15,-3,-15,-3,-14,-3,-14,-5,-14,-5,-13,-6,-13,-6,-12,-7,-13,-7,-13,-8,-12,-7,-12,-9,-11,-10,-12,-11,-11,0,0,-12,-10,-13,-11,-13,-10,-14,-10,-14,-11,-16,-11,-16,-11,-16,-10,-17,-10,-18,-11,-19,-11,-18,-12,-19,-12,-20,-11,-21,-12,-22,-13,-23,-13,-22,-14,-22,-15,-22,-15,-22,-17,-20,-17,-21,-19,-21,-19,-19,-22,-19,-21,0,0]"
CSI_DATA: 4,7,1,1,0,0,0,0,-40,-46,4294809.516,4294816.398,297.224,431.963,431.963,431.963,"[13,-2,14,-4,12,-5,14,-5,13,-5,12,-6,11,-7,10,-7,10,-8,9,-8,9,-8,7,-9,7,-8,6,-8,7,-7,6,-8,4,-7,5,-5,5,-5,5,-4,5,-3,5,-2,5,-1,5,0,6,1,7,2,0,0,7,5,8,6,10,7,10,9,11,11,12,12,13,13,14,14,15,16,16,15,19,18,18,18,20,19,22,21,22,20,24,22,27,22,28,24,27,25,28,26,28,27,28,27,28,27,31,27,29,29,30,30,0,0,-14,-9,-14,-8,-15,-7,-15,-8,-14,-7,-14,-7,-14,-6,-13,-6,-13,-6,-13,-5,-14,-6,-13,-5,-13,-5,-13,-4,-12,-5,-13,-3,-11,-3,-11,-3,-11,-2,-11,-2,-11,-2,-10,-2,-10,-2,-10,-1,-10,-1,-9,0,0,0,-8,1,-8,1,-7,2,-6,3,-6,3,-6,4,-5,5,-5,5,-4,6,-4,7,-4,9,-4,9,-4,10,-4,11,-5,12,-5,13,-6,14,-6,15,-7,15,-8,15,-9,16,-10,15,-12,15,-12,15,-14,14,-15,14,0,0]"
CSI_DATA: 5,5,1,1,0,0,0,0,-45,-30,4294810.991,4294817.716,297.864,495.158,495.158,495.158,"[3,-8,3,-8,3,-8,4,-8,3,-7,3,-7,3,-7,3,-5,3,-5,2,-5,2,-4,2,-3,2,-2,1,-2,1,-1,0,0,-1,0,-1,1,-2,3,-3,3,-3,4,-4,5,-5,4,-5,6,-7,6,-7,7,0,0,-8,7,-9,7,-11,8,-10,7,-11,8,-11,8,-12,8,-12,8,-13,8,-12,7,-14,8,-13,6,-13,7,-13,7,-13,7,-12,7,-12,7,-12,6,-12,6,-10,5,-10,6,-9,7,-9,7,-7,8,-8,8,-7,8,0,0,-9,-16,-10,-15,-10,-14,-11,-16,-10,-15,-10,-15,-10,-15,-11,-15,-11,-15,-11,-14,-11,-16,-12,-15,-12,-15,-12,-14,-12,-15,-13,-15,-12,-14,-12,-14,-13,-13,-13,-14,-13,-15,-13,-14,-12,-15,-13,-13,-14,-14,-15,-14,0,0,-14,-13,-15,-13,-15,-12,-15,-12,-15,-12,-16,-13,-16,-12,-16,-12,-16,-12,-16,-13,-18,-13,-16,-13,-16,-13,-17,-13,-17,-14,-18,-14,-18,-14,-17,-14,-17,-15,-16,-15,-16,-16,-15,-16,-15,-17,-15,-17,-14,-19,-14,-19,0,0]"
CSI_DATA: 6,3,2,2,2,1,1,0,-29,-27,582.575,591.829,19.815,765.361,765.361,21.521,"[6,11,6,11,7,11,8,12,7,12,7,13,7,13,7,12,7,13,8,12,9,13,9,13,9,13,9,13,8,14,10,13,9,12,9,12,10,13,9,13,9,13,10,13,9,13,11,12,11,13,12,13,0,0,11,12,11,12,12,12,12,12,12,13,12,13,12,13,11,12,11,12,11,12,12,13,10,12,11,12,10,12,10,12,10,12,10,12,9,12,8,12,7,12,7,11,6,11,6,10,7,10,5,10,5,9,0,0,9,-3,9,-4,8,-5,10,-5,9,-6,10,-6,9,-7,10,-7,10,-7,9,-8,10,-10,9,-10,10,-11,9,-11,11,-11,9,-12,10,-13,9,-12,9,-13,10,-13,10,-14,9,-14,10,-13,8,-16,9,-17,9,-18,0,0,9,-18,9,-18,8,-19,8,-18,8,-19,9,-20,10,-20,9,-20,10,-22,9,-21,9,-23,9,-22,10,-22,10,-23,11,-21,12,-23,11,-22,12,-22,13,-22,13,-20,15,-20,15,-19,14,-19,14,-19,16,-17,17,-17,0,0]"
CSI_DATA: 7,6,2,2,2,1,1,0,-41,-47,583.306,592.560,316.482,1061.993,1061.993,318.153,"[-17,13,-18,13,-15,13,-17,13,-15,11,-15,11,-14,10,-13,9,-12,9,-10,9,-10,9,-9,8,-8,7,-7,7,-7,6,-6,6,-4,5,-4,5,-3,5,-3,4,-2,3,-2,3,-2,2,-1,2,-1,1,0,0,0,0,1,-2,1,-2,1,-3,1,-4,1,-5,1,-6,1,-7,1,-7,2,-8,2,-9,1,-11,1,-11,1,-13,1,-14,1,-14,1,-16,1,-17,2,-18,2,-19,2,-19,3,-20,4,-21,5,-22,3,-24,6,-24,7,-25,0,0,-3,-15,-2,-14,-2,-13,0,-13,0,-11,1,-9,1,-8,1,-6,1,-5,1,-4,0,-2,0,-2,0,0,-1,0,-1,1,-1,2,-1,3,-2,4,-2,5,-3,5,-3,6,-3,6,-3,7,-3,7,-3,8,-3,9,0,0,-3,10,-3,9,-3,10,-3,10,-3,11,-4,11,-4,11,-4,12,-3,13,-2,13,-2,14,-3,12,-3,12,-3,13,-3,13,-2,14,-2,13,-1,13,-1,13,-2,13,-1,14,0,13,0,14,2,15,0,17,0,18,0,0]"
CSI_DATA: 8,4,2,2,2,1,1,0,-32,-31,583.316,592.571,316.754,1110.684,1110.684,366.844,"[-10,-6,-10,-6,-10,-5,-11,-5,-10,-4,-10,-4,-10,-4,-10,-4,-10,-3,-10,-2,-11,-2,-11,-2,-11,-1,-11,-1,-11,-1,-11,0,-11,0,-11,0,-11,1,-11,1,-11,1,-11,2,-11,1,-11,3,-12,3,-11,4,0,0,-11,4,-12,5,-12,5,-11,6,-12,6,-12,7,-12,7,-12,7,-13,8,-13,8,-14,10,-14,8,-15,9,-16,9,-16,9,-16,9,-17,9,-18,9,-18,8,-18,7,-19,6,-19,6,-20,6,-20,6,-20,4,-20,3,0,0,10,12,11,12,11,10,11,12,10,11,10,11,10,10,10,10,10,10,10,8,11,9,12,8,12,7,12,7,11,8,12,6,12,5,11,5,12,4,12,5,12,5,12,3,12,3,13,1,14,2,15,1,0,0,15,0,15,-1,16,-2,16,-2,16,-2,17,-2,18,-2,18,-3,19,-3,19,-4,20,-5,20,-5,21,-5,22,-5,22,-5,24,-5,23,-4,25,-4,24,-3,25,-1,26,0,25,0,26,0,26,-1,26,2,26,4,0,0]"
CSI_DATA: 9,7,2,2,2,1,1,0,-41,-46,579.801,589.56,317.20,1173.333,1173.333,429.493,"[12,-9,12,-10,10,-11,11,-11,9,-12,9,-11,7,-12,7,-11,6,-11,5,-11,5,-12,4,-12,3,-11,2,-10,3,-10,3,-10,2,-9,2,-8,3,-7,3,-6,2,-6,4,-4,4,-3,4,-3,6,-2,6,-1,0,0,8,2,9,3,10,3,11,4,13,6,14,6,16,7,15,7,17,7,19,8,22,8,23,10,23,9,25,11,26,11,28,11,30,10,31,12,31,12,31,13,32,14,33,14,34,14,36,13,35,15,35,16,0,0,-6,14,-5,15,-4,14,-5,15,-4,14,-4,14,-4,13,-4,13,-4,13,-3,12,-3,14,-2,13,-2,12,-1,12,-2,12,-1,12,-1,11,-1,10,0,10,0,10,0,10,0,9,0,9,2,8,2,9,2,8,0,0,3,7,3,6,4,6,4,5,5,5,5,4,6,4,6,3,7,3,8,2,9,2,10,2,11,2,12,2,12,2,14,2,15,2,15,4,16,5,16,6,17,7,17,8,17,8,18,9,16,11,16,12,0,0]"
CSI_DATA: 10,5,2,2,2,1,1,0,-47,-30,581.152,590.407,317.649,1230.626,1230.626,486.786,"[8,3,9,2,9,2,9,3,9,3,8,3,7,3,6,4,5,3,5,2,5,3,3,2,3,2,2,1,1,2,0,1,-1,0,-2,-1,-2,-1,-3,-2,-3,-3,-4,-3,-5,-4,-6,-4,-6,-6,-7,-6,0,0,-8,-7,-8,-8,-9,-8,-8,-8,-9,-9,-8,-10,-9,-11,-8,-10,-9,-10,-8,-11,-9,-11,-8,-11,-8,-11,-8,-11,-8,-10,-8,-10,-8,-9,-8,-9,-7,-9,-7,-8,-7,-8,-7,-6,-8,-6,-8,-5,-9,-6,-10,-5,0,0,0,-15,0,-16,-2,-15,-1,-16,-1,-16,-1,-16,-1,-16,-1,-16,-1,-16,-2,-15,-2,-17,-3,-17,-3,-17,-3,-16,-2,-17,-3,-18,-3,-16,-3,-17,-3,-17,-2,-17,-2,-17,-3,-17,-2,-17,-4,-16,-4,-18,-5,-17,0,0,-5,-17,-5,-17,-5,-17,-6,-16,-5,-16,-5,-17,-5,-17,-5,-17,-6,-17,-6,-17,-7,-18,-6,-17,-6,-17,-6,-18,-6,-18,-7,-19,-6,-19,-6,-19,-5,-19,-4,-19,-4,-20,-3,-19,-3,-19,-4,-20,-2,-20,-1,-20,0,0]"
