CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-31,-30,4294813.610,4294813.982,0.116,20.01,20.01,20.01,"[-19,-1,-19,-1,-19,0,-21,-1,-20,-1,-21,-1,-20,-1,-20,-2,-20,-1,-19,-1,-21,-1,-21,-1,-21,-1,-21,-1,-21,-2,-21,0,-20,0,-20,0,-21,0,-21,0,-21,-1,-21,0,-20,-2,-21,0,-22,-1,-22,0,0,0,-20,-1,-21,-1,-21,-1,-19,-1,-20,-2,-19,-2,-18,-3,-18,-3,-17,-3,-16,-3,-16,-3,-14,-4,-13,-4,-13,-3,-12,-3,-11,-3,-11,-2,-10,-2,-9,-2,-8,-1,-8,-1,-7,0,-6,0,-6,1,-6,1,-5,2,0,0,2,8,3,7,4,6,4,7,4,6,5,6,5,5,6,5,6,5,6,4,8,4,8,3,9,3,9,3,9,3,10,1,10,1,10,1,11,1,11,1,12,1,12,0,12,1,13,-2,14,-1,14,-2,0,0,15,-3,15,-3,16,-4,15,-4,16,-3,17,-3,17,-3,17,-3,18,-4,17,-3,19,-4,18,-3,19,-3,19,-3,19,-3,20,-3,19,-2,20,-1,19,0,19,0,19,1,17,1,17,2,17,2,17,3,16,4,0,0]"
CSI_DATA: 2,6,1,1,0,0,0,0,-37,-45,187433.277,4294819.02,296.664,308.145,308.145,308.145,"[-19,4,-19,4,-18,5,-20,4,-18,3,-19,3,-17,3,-17,2,-16,2,-15,2,-16,2,-15,2,-14,2,-13,2,-13,1,-12,2,-11,2,-11,2,-10,3,-10,2,-9,2,-8,2,-7,2,-7,3,-6,3,-6,3,0,0,-4,4,-4,4,-3,5,-3,5,-2,6,-2,6,-2,6,-1,7,-1,7,0,7,0,8,0,8,0,8,-1,9,0,10,0,10,0,10,-1,11,-1,11,-1,11,-2,12,-2,11,-3,12,-3,12,-4,13,-5,12,0,0,4,-9,4,-8,3,-7,3,-7,2,-6,1,-6,0,-5,-1,-5,-2,-5,-2,-5,-3,-6,-4,-5,-5,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-8,-8,-8,-9,-7,-10,-8,-10,-7,-10,-9,-10,-9,-12,-9,-12,0,0,-9,-12,-9,-13,-9,-14,-9,-13,-8,-14,-9,-15,-8,-15,-7,-15,-8,-14,-7,-14,-8,-15,-6,-15,-6,-15,-6,-15,-6,-14,-7,-14,-6,-13,-6,-14,-6,-13,-5,-12,-5,-12,-5,-12,-5,-12,-6,-11,-7,-12,-7,-12,0,0]"
CSI_DATA: 3,4,1,1,0,0,0,0,-30,-33,4294814.338,4294814.725,296.804,360.959,360.959,360.959,"[-10,4,-10,5,-9,5,-10,6,-10,6,-10,6,-10,7,-9,6,-9,7,-9,7,-9,8,-9,9,-9,9,-8,9,-8,9,-7,10,-7,10,-7,10,-6,11,-7,11,-7,11,-6,12,-6,11,-5,12,-6,13,-5,13,0,0,-4,13,-4,14,-3,15,-3,14,-3,15,-3,16,-3,16,-3,16,-3,17,-3,17,-2,18,-4,18,-4,18,-4,19,-3,19,-4,20,-4,20,-5,20,-5,19,-6,19,-7,19,-7,18,-9,18,-8,18,-10,17,-10,16,0,0,3,-13,2,-13,1,-12,2,-13,1,-12,1,-12,1,-11,0,-10,0,-10,-1,-9,-2,-10,-3,-9,-3,-9,-3,-8,-4,-8,-5,-7,-5,-6,-6,-5,-7,-5,-7,-5,-8,-5,-9,-3,-9,-4,-10,-2,-12,-2,-13,-1,0,0,-14,0,-14,0,-16,1,-15,2,-17,2,-18,2,-19,2,-19,3,-20,4,-20,4,-22,6,-22,4,-22,5,-24,5,-24,5,-27,6,-26,6,-28,6,-28,5,-29,4,-30,3,-29,2,-30,2,-31,3,-32,0,-32,-1,0,0]"
CSI_DATA: 4,5,1,1,0,0,0,0,-39,-36,4294812.176,4294812.559,296.801,424.408,424.408,424.408,"[-14,-5,-15,-5,-15,-5,-16,-6,-15,-6,-16,-6,-16,-6,-15,-6,-16,-6,-16,-6,-18,-6,-17,-5,-18,-6,-18,-5,-18,-6,-19,-5,-19,-4,-18,-5,-19,-5,-20,-5,-20,-5,-20,-4,-20,-5,-21,-2,-22,-4,-21,-3,0,0,-22,-3,-22,-3,-23,-3,-22,-2,-23,-3,-24,-3,-24,-3,-23,-4,-24,-3,-23,-3,-25,-3,-23,-4,-23,-3,-23,-4,-23,-4,-23,-5,-23,-5,-22,-5,-22,-6,-21,-5,-20,-7,-19,-6,-18,-6,-18,-5,-17,-7,-17,-6,0,0,16,-6,15,-6,15,-7,16,-6,15,-6,14,-5,14,-6,14,-5,14,-5,13,-5,14,-6,14,-6,13,-6,13,-6,13,-5,13,-8,12,-7,12,-6,12,-7,12,-7,13,-6,12,-8,12,-6,12,-8,13,-8,12,-8,0,0,12,-9,12,-9,12,-10,12,-10,12,-9,13,-9,13,-9,13,-9,13,-9,13,-8,14,-9,13,-8,14,-8,14,-7,13,-8,14,-8,14,-7,13,-7,14,-6,13,-5,13,-5,13,-5,13,-5,13,-5,13,-4,14,-4,0,0]"
CSI_DATA: 5,7,1,1,0,0,0,0,-39,-44,4294810.758,4294811.219,297.615,493.95,493.95,493.95,"[-3,7,-2,7,-1,7,-1,6,0,7,0,7,0,6,1,5,1,5,2,4,2,5,2,3,3,2,3,1,3,1,3,0,4,-2,3,-2,4,-4,3,-5,4,-6,3,-7,3,-8,2,-10,2,-11,2,-14,0,0,2,-16,1,-18,0,-20,0,-19,0,-22,0,-24,-1,-25,-1,-26,-1,-26,-2,-28,-3,-31,-2,-30,-2,-31,-2,-33,-2,-32,-3,-34,-2,-35,-2,-36,-1,-35,-1,-35,1,-36,1,-35,1,-35,0,-35,3,-33,3,-33,0,0,18,-9,18,-10,16,-10,19,-10,17,-9,18,-9,17,-9,16,-8,17,-8,15,-8,17,-9,16,-10,16,-10,15,-10,16,-9,15,-11,14,-11,14,-9,14,-11,14,-11,15,-10,14,-11,14,-10,13,-12,15,-12,14,-12,0,0,14,-12,13,-12,14,-13,12,-12,13,-12,13,-12,13,-12,12,-11,12,-12,12,-11,12,-13,11,-12,12,-12,12,-13,12,-12,13,-13,12,-13,13,-13,14,-12,14,-11,15,-12,15,-11,15,-10,16,-11,17,-9,18,-8,0,0]"
CSI_DATA: 6,3,2,2,2,1,1,0,-31,-30,587.130,591.832,14.649,761.449,761.449,16.315,"[3,17,4,17,5,17,4,19,4,19,3,19,3,18,3,18,3,19,4,18,4,20,4,19,4,19,4,19,3,19,5,19,4,18,4,18,5,19,4,19,3,19,4,19,3,18,5,18,4,19,4,19,0,0,4,18,3,18,3,18,3,17,2,17,2,17,1,16,1,16,1,15,1,14,1,15,0,13,0,12,0,12,1,11,1,11,1,10,1,9,1,8,1,8,1,7,2,6,2,6,3,6,3,6,3,6,0,0,-9,0,-8,1,-8,2,-9,2,-8,3,-8,3,-8,4,-7,4,-7,5,-7,5,-7,7,-7,7,-7,8,-6,8,-7,8,-6,9,-5,9,-6,10,-5,10,-5,11,-5,11,-4,12,-5,11,-3,13,-4,14,-3,14,0,0,-3,15,-2,15,-2,16,-2,16,-2,17,-3,17,-3,18,-3,18,-3,18,-3,18,-2,19,-3,18,-4,19,-4,19,-4,19,-4,20,-5,19,-5,19,-6,18,-7,18,-8,17,-7,17,-8,16,-8,16,-9,14,-10,14,0,0]"
CSI_DATA: 7,6,2,2,2,1,1,0,-36,-46,587.846,592.548,311.211,1058.39,1058.39,312.905,"[15,-8,16,-9,14,-9,16,-8,15,-8,15,-8,14,-7,13,-6,13,-5,12,-6,13,-6,12,-6,12,-6,11,-6,11,-5,10,-6,9,-6,8,-5,8,-6,8,-5,7,-5,6,-5,6,-5,5,-6,5,-6,5,-7,0,0,4,-7,3,-7,3,-8,2,-7,3,-8,2,-8,2,-8,2,-8,2,-9,1,-9,1,-10,1,-9,1,-10,1,-11,1,-10,1,-11,1,-11,1,-11,2,-12,2,-11,3,-12,3,-13,3,-13,4,-14,5,-13,6,-13,0,0,8,5,8,4,7,3,7,3,6,2,5,1,5,1,4,0,4,-2,4,-2,6,-3,5,-4,6,-5,6,-5,7,-6,8,-7,7,-7,9,-6,9,-7,10,-7,11,-6,11,-7,12,-6,11,-7,13,-7,14,-7,0,0,14,-6,14,-6,14,-6,14,-5,14,-5,14,-4,14,-4,14,-4,14,-4,14,-3,14,-4,13,-3,13,-3,13,-4,13,-4,13,-3,12,-3,12,-3,12,-3,11,-3,11,-3,11,-5,11,-5,11,-6,13,-5,13,-5,0,0]"
CSI_DATA: 8,5,2,2,2,1,1,0,-40,-35,585.705,590.406,311.450,1106.178,1106.178,361.44,"[2,-13,3,-14,2,-13,3,-15,3,-15,3,-15,3,-15,3,-15,4,-15,3,-15,3,-17,2,-16,3,-17,2,-17,3,-18,2,-18,2,-18,2,-18,2,-18,2,-19,2,-19,2,-19,2,-18,1,-20,1,-21,1,-21,0,0,2,-21,1,-21,1,-23,1,-21,2,-23,2,-23,2,-22,2,-22,2,-22,2,-22,1,-23,3,-22,3,-22,3,-22,3,-21,3,-22,3,-21,3,-21,4,-21,4,-20,4,-20,5,-19,5,-19,4,-20,5,-18,5,-18,0,0,-6,-17,-6,-17,-7,-15,-7,-17,-6,-16,-6,-16,-6,-15,-6,-15,-6,-15,-6,-14,-7,-16,-7,-15,-7,-15,-7,-14,-6,-14,-8,-14,-7,-13,-7,-13,-8,-13,-7,-13,-7,-14,-8,-13,-6,-13,-8,-12,-8,-13,-9,-13,0,0,-9,-12,-9,-12,-10,-12,-9,-11,-9,-12,-10,-12,-10,-12,-9,-12,-10,-13,-9,-13,-10,-13,-9,-13,-9,-13,-9,-13,-9,-13,-9,-14,-9,-13,-8,-14,-8,-13,-7,-13,-7,-13,-6,-13,-6,-13,-7,-13,-6,-14,-5,-14,0,0]"
CSI_DATA: 9,4,2,2,2,1,1,0,-30,-33,587.872,592.573,311.731,1174.302,1174.302,429.168,"[-6,-9,-6,-9,-7,-8,-7,-9,-7,-8,-8,-8,-8,-8,-8,-7,-8,-7,-9,-6,-10,-7,-10,-6,-10,-6,-11,-5,-11,-6,-11,-5,-12,-4,-11,-4,-12,-4,-12,-4,-12,-4,-13,-3,-12,-3,-13,-2,-14,-2,-15,-1,0,0,-15,-1,-15,0,-16,0,-15,0,-16,0,-17,1,-17,1,-17,1,-17,1,-17,1,-19,2,-18,1,-19,2,-20,1,-19,1,-21,1,-20,1,-22,0,-21,-1,-20,-2,-21,-3,-20,-4,-20,-4,-21,-3,-20,-6,-19,-6,0,0,-3,12,-2,12,-1,11,-2,12,-1,11,-1,11,-1,10,0,9,0,9,1,9,1,9,2,8,2,8,3,7,3,7,4,6,4,5,5,5,6,4,6,3,7,3,7,2,8,2,9,0,10,1,11,-1,0,0,12,-2,13,-2,14,-3,14,-4,15,-4,16,-4,17,-4,17,-5,18,-6,19,-6,20,-7,20,-6,21,-7,22,-7,22,-7,24,-8,24,-8,25,-8,25,-7,26,-6,27,-6,27,-5,28,-4,29,-5,30,-2,30,-1,0,0]"
CSI_DATA: 10,7,2,2,2,1,1,0,-41,-44,584.341,589.42,312.274,1236.889,1236.889,491.755,"[-1,-7,-2,-7,-2,-6,-2,-7,-2,-6,-2,-6,-3,-5,-3,-5,-3,-4,-3,-4,-4,-3,-4,-3,-4,-3,-4,-2,-4,-1,-4,-1,-4,0,-3,1,-3,2,-4,2,-3,3,-3,5,-3,5,-2,6,-2,8,-2,8,0,0,-1,10,-1,11,0,13,0,12,0,14,0,15,0,16,1,16,1,18,2,17,3,19,1,19,2,20,2,22,2,21,3,23,3,23,2,24,2,24,0,23,0,24,-1,23,-1,23,0,24,-3,23,-3,22,0,0,-19,0,-19,0,-18,1,-20,-1,-19,-1,-19,-1,-18,-1,-17,-1,-17,-1,-16,-1,-18,-1,-17,0,-17,0,-16,0,-16,-1,-16,1,-15,1,-15,0,-16,1,-16,0,-16,0,-15,1,-15,0,-15,2,-16,1,-16,2,0,0,-15,1,-15,1,-15,1,-14,1,-14,1,-14,0,-14,0,-13,0,-13,1,-13,1,-13,2,-12,1,-12,1,-12,1,-12,1,-13,2,-12,2,-13,2,-13,1,-13,1,-13,1,-13,0,-13,0,-13,0,-13,-1,-13,-2,0,0]"
