CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,6,1,1,0,0,0,0,-32,-30,4294813.510,4294817.288,5.433,317.599,317.599,317.599,"[17,-1,17,-2,16,-3,18,-2,16,-2,16,-2,15,-2,15,-2,15,-2,14,-3,16,-3,16,-4,16,-4,16,-4,16,-3,16,-4,15,-4,15,-4,16,-5,16,-3,16,-3,16,-3,16,-2,16,-4,17,-3,17,-3,0,0,15,-2,15,-2,16,-3,14,-2,14,-2,13,-2,13,-2,12,-3,12,-3,11,-3,11,-5,10,-5,11,-6,11,-7,11,-7,11,-9,11,-9,13,-10,14,-10,14,-10,16,-10,17,-9,18,-9,20,-11,21,-8,23,-7,0,0,-10,5,-10,6,-9,7,-11,7,-10,7,-11,8,-10,8,-10,8,-10,8,-8,8,-10,10,-9,10,-8,10,-8,10,-9,11,-8,11,-8,12,-7,12,-7,13,-8,13,-9,13,-8,14,-8,13,-7,15,-8,15,-8,16,0,0,-8,16,-9,15,-9,16,-8,15,-9,15,-10,15,-10,15,-10,15,-10,15,-10,14,-10,14,-11,12,-11,12,-11,12,-11,10,-11,11,-10,10,-11,10,-11,8,-9,8,-10,6,-9,5,-8,5,-8,5,-7,4,-7,4,0,0]"
CSI_DATA: 2,4,1,1,0,0,0,0,-34,-27,4294813.481,4294817.306,5.722,382.480,382.480,382.480,"[-14,12,-13,12,-12,13,-14,13,-13,12,-13,12,-12,11,-11,11,-12,11,-10,10,-11,11,-10,12,-10,11,-10,11,-10,10,-9,11,-8,11,-9,10,-8,10,-9,10,-9,9,-8,10,-8,9,-7,10,-7,10,-7,10,0,0,-5,9,-6,9,-5,10,-4,10,-5,9,-5,10,-4,10,-4,10,-4,11,-3,11,-4,12,-4,11,-4,12,-5,12,-5,12,-5,13,-6,13,-6,13,-6,13,-7,12,-8,12,-8,11,-9,12,-9,12,-9,10,-10,10,0,0,16,-4,17,-4,16,-5,18,-5,17,-4,17,-4,17,-4,17,-3,17,-3,16,-4,18,-4,18,-4,17,-4,17,-4,17,-3,17,-4,16,-4,15,-4,15,-5,15,-5,15,-4,15,-5,14,-4,14,-7,15,-7,15,-7,0,0,15,-8,15,-8,15,-9,15,-9,16,-9,16,-9,16,-9,16,-8,16,-9,16,-9,17,-10,16,-10,16,-10,17,-10,17,-9,18,-10,18,-10,18,-10,18,-9,19,-8,19,-8,19,-8,19,-8,20,-9,21,-7,22,-7,0,0]"
CSI_DATA: 3,5,1,1,1,0,0,0,-33,-27,138.15,4294815.147,6.818,447.722,447.722,447.722,"[2,-22,1,-22,1,-22,3,-24,2,-23,3,-23,3,-23,2,-22,4,-23,3,-22,4,-25,3,-24,3,-23,4,-23,6,-22,4,-23,3,-21,4,-21,4,-20,4,-20,5,-20,4,-20,5,-18,3,-19,5,-20,3,-19,0,0,3,-18,4,-17,3,-18,3,-16,3,-15,3,-16,3,-15,2,-14,2,-14,2,-12,1,-13,2,-11,2,-11,1,-12,1,-11,1,-10,0,-10,0,-10,-1,-9,0,-9,0,-9,0,-8,0,-8,-1,-8,0,-7,0,-7,0,0,12,5,12,5,12,3,13,4,13,4,13,3,13,3,12,2,13,2,13,0,14,0,14,0,15,-1,15,-2,15,-1,16,-3,15,-4,16,-3,16,-4,17,-4,18,-3,17,-4,18,-3,18,-6,19,-6,20,-7,0,0,19,-7,21,-7,21,-8,20,-7,21,-7,22,-7,22,-7,22,-7,22,-7,22,-7,24,-8,23,-6,23,-6,23,-6,24,-5,24,-6,24,-5,24,-5,24,-4,23,-3,24,-2,23,-2,23,-2,24,-3,23,0,23,0,0,0]"
CSI_DATA: 4,3,2,2,1,1,1,0,-34,-39,139.430,591.770,458.596,763.751,763.751,18.881,"[15,9,15,8,16,8,15,10,14,10,13,10,13,9,12,9,11,10,12,9,12,10,12,9,11,9,11,8,10,8,11,7,10,6,10,7,10,5,10,6,11,6,11,5,11,5,12,3,13,4,13,3,0,0,13,3,14,3,15,3,15,3,14,3,15,3,15,4,15,4,16,4,16,4,16,4,15,5,15,5,15,4,14,5,14,5,14,5,13,5,13,5,12,4,12,5,12,5,12,4,11,3,11,4,11,4,0,0,-14,0,-14,0,-13,1,-14,0,-14,0,-14,0,-13,1,-12,1,-13,1,-12,1,-13,2,-12,2,-12,2,-12,2,-12,2,-12,3,-11,3,-10,3,-11,4,-12,4,-11,4,-11,4,-11,3,-11,5,-12,5,-11,5,0,0,-11,4,-11,4,-11,4,-10,4,-10,4,-10,3,-10,3,-9,2,-8,2,-7,2,-7,1,-6,1,-5,0,-4,0,-3,0,-1,1,0,1,2,2,3,3,4,4,6,5,6,7,6,8,7,10,6,12,6,14,0,0]"
CSI_DATA: 5,6,2,2,2,1,1,0,-33,-31,585.245,592.532,5.413,1060.405,1060.405,315.535,"[10,-9,11,-9,9,-10,11,-10,10,-9,10,-10,10,-10,9,-10,9,-10,8,-10,10,-12,9,-12,9,-13,9,-12,11,-12,10,-12,9,-12,9,-12,9,-13,10,-12,11,-12,10,-12,10,-11,9,-13,10,-13,10,-13,0,0,9,-12,9,-11,9,-12,8,-11,8,-11,8,-11,7,-11,6,-10,5,-10,4,-10,3,-12,2,-12,1,-13,0,-14,0,-14,-1,-15,-2,-17,-2,-19,0,-20,0,-20,0,-22,2,-23,2,-25,2,-26,5,-27,7,-28,0,0,9,-2,9,-3,9,-3,9,-4,9,-4,9,-4,8,-5,8,-6,8,-6,8,-6,9,-7,8,-8,8,-8,8,-8,8,-8,9,-10,8,-11,8,-11,8,-11,9,-11,10,-12,9,-12,10,-12,9,-13,11,-13,11,-14,0,0,11,-14,12,-13,12,-13,12,-13,13,-12,13,-12,13,-12,13,-12,13,-12,13,-11,13,-11,13,-9,13,-9,13,-9,13,-9,13,-9,12,-8,11,-8,11,-8,10,-7,10,-7,9,-6,9,-6,9,-7,9,-6,9,-6,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-38,-28,140.202,592.543,5.718,1113.486,1113.486,368.616,"[-1,-12,-2,-11,-3,-11,-3,-12,-3,-12,-3,-12,-3,-11,-4,-11,-4,-11,-4,-10,-6,-11,-6,-10,-6,-10,-7,-10,-6,-10,-8,-10,-8,-8,-8,-8,-9,-8,-10,-8,-10,-8,-11,-7,-11,-8,-12,-6,-13,-7,-14,-6,0,0,-15,-5,-16,-6,-17,-6,-17,-5,-17,-6,-19,-6,-19,-6,-19,-6,-20,-6,-20,-6,-22,-6,-21,-7,-21,-7,-22,-8,-22,-9,-22,-9,-22,-10,-21,-10,-20,-11,-19,-11,-18,-12,-17,-13,-17,-12,-17,-12,-15,-12,-14,-12,0,0,-11,15,-11,15,-10,16,-11,17,-11,16,-11,15,-11,15,-11,14,-11,15,-11,14,-12,16,-11,15,-11,15,-10,14,-11,13,-9,15,-8,13,-8,13,-7,13,-8,13,-7,14,-7,13,-7,13,-5,14,-6,14,-4,15,0,0,-3,15,-2,15,-2,16,-2,16,-2,16,-1,17,-2,17,-1,17,-1,17,-1,18,0,19,-1,19,-1,19,-1,19,0,20,0,20,0,21,-1,21,-1,22,-1,21,-2,22,-2,21,-4,22,-3,23,-6,24,-6,24,0,0]"
CSI_DATA: 7,5,2,2,2,1,1,0,-35,-28,583.68,590.356,310.334,1182.744,1182.744,437.874,"[4,-22,4,-22,3,-21,5,-22,5,-20,6,-19,5,-19,5,-17,5,-17,4,-16,5,-18,4,-16,5,-16,4,-15,5,-14,4,-15,3,-13,3,-13,2,-13,3,-13,3,-12,2,-12,2,-12,1,-12,2,-12,1,-12,0,0,0,-12,0,-12,0,-11,0,-11,0,-11,0,-11,0,-11,0,-10,1,-10,0,-10,0,-10,0,-10,0,-9,0,-8,1,-8,1,-7,0,-7,0,-6,0,-7,0,-6,-1,-5,-1,-5,-2,-5,-3,-5,-3,-5,-3,-5,0,0,8,11,8,10,9,8,10,9,9,8,9,8,10,8,9,6,10,7,11,5,12,5,13,4,13,4,13,3,13,4,15,2,14,2,15,2,16,1,17,1,17,1,17,0,17,1,18,-2,20,-1,21,-2,0,0,21,-2,22,-2,22,-2,22,-3,23,-2,23,-2,24,-1,23,-2,25,-1,25,-2,26,-2,25,-1,25,-1,26,-1,26,0,27,0,26,0,26,2,26,2,25,3,25,4,24,4,24,4,24,3,24,6,24,6,0,0]"
CSI_DATA: 8,3,3,3,2,2,2,0,-31,-37,889.413,1331.811,448.619,1503.782,1503.782,18.912,"[-14,7,-14,8,-13,8,-15,7,-14,7,-14,6,-14,7,-13,7,-14,7,-13,6,-14,7,-13,7,-13,7,-13,6,-13,5,-13,8,-11,7,-12,7,-11,7,-11,7,-12,8,-11,8,-11,8,-10,9,-11,10,-11,10,0,0,-10,11,-11,11,-11,12,-10,12,-11,12,-11,12,-11,13,-10,13,-10,13,-10,13,-11,14,-11,13,-12,13,-12,13,-12,13,-12,13,-12,13,-12,13,-12,12,-12,12,-13,11,-12,10,-13,10,-13,10,-13,8,-13,8,0,0,16,3,16,3,15,1,17,3,16,3,16,3,15,3,15,4,15,3,14,3,16,3,15,3,15,3,15,3,14,3,14,2,13,2,13,2,13,2,13,2,13,2,13,1,12,2,13,0,13,1,13,0,0,0,13,0,13,0,13,0,12,1,12,1,11,2,11,2,10,2,9,2,8,2,8,2,7,1,6,1,5,1,4,0,3,-1,3,-2,2,-3,1,-4,1,-5,1,-7,1,-8,1,-10,2,-12,3,-12,4,-13,0,0]"
CSI_DATA: 9,6,3,3,4,2,2,0,-32,-34,1325.267,1332.575,5.505,1800.429,1800.429,315.559,"[-6,10,-5,11,-4,11,-5,13,-4,12,-4,13,-3,13,-3,13,-3,14,-2,14,-3,16,-2,16,-3,16,-3,17,-4,17,-3,17,-3,17,-4,16,-4,18,-5,18,-6,17,-5,17,-6,16,-4,17,-5,17,-5,18,0,0,-5,16,-5,15,-4,16,-4,14,-4,15,-4,14,-4,14,-3,13,-2,13,0,12,1,13,0,13,1,13,2,14,3,14,4,16,4,16,5,18,4,18,4,20,3,21,2,21,2,22,3,25,0,25,-1,26,0,0,-10,2,-10,2,-8,3,-9,4,-9,4,-8,4,-8,4,-7,4,-8,5,-7,5,-8,6,-7,6,-6,6,-6,6,-6,6,-5,7,-5,7,-5,7,-5,8,-5,8,-5,8,-5,9,-5,9,-4,9,-5,10,-5,11,0,0,-5,10,-5,11,-5,11,-5,11,-6,11,-6,11,-6,11,-7,10,-7,11,-7,10,-7,10,-8,9,-8,9,-8,8,-9,8,-9,8,-9,7,-9,7,-8,6,-8,5,-8,4,-7,3,-7,3,-7,2,-6,2,-6,1,0,0]"
CSI_DATA: 10,4,3,3,3,2,2,0,-36,-27,1325.277,1332.585,5.830,1848.184,1848.184,363.314,"[15,2,16,2,15,0,16,1,14,1,15,2,14,1,13,1,13,1,12,0,13,0,13,-1,12,-1,12,-1,11,-1,11,-2,10,-2,10,-2,10,-3,9,-3,9,-3,8,-4,8,-4,7,-5,7,-5,7,-6,0,0,5,-7,5,-7,5,-9,5,-9,5,-9,5,-10,5,-11,6,-11,6,-12,6,-12,7,-13,8,-12,8,-13,9,-14,10,-13,10,-13,10,-13,11,-13,11,-12,12,-11,12,-11,13,-11,13,-10,13,-11,13,-9,14,-9,0,0,-5,16,-5,16,-3,16,-5,17,-5,17,-5,17,-5,16,-5,16,-5,16,-5,15,-5,17,-4,16,-5,16,-5,16,-6,15,-4,15,-3,14,-4,13,-3,14,-3,13,-3,13,-3,13,-2,12,-1,13,-1,14,0,13,0,0,1,13,1,14,1,14,2,13,2,14,2,15,2,15,2,14,3,15,3,14,4,16,3,15,3,15,3,16,3,16,4,17,3,17,3,18,3,18,2,18,2,18,2,18,1,18,2,19,0,19,0,19,0,0]"
