CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-34,-36,4294813.47,4294812.369,0.116,17.777,17.777,17.777,"[2,-11,2,-11,1,-10,1,-11,1,-10,1,-9,0,-9,0,-8,0,-8,-1,-7,-1,-8,-2,-7,-2,-7,-3,-7,-3,-7,-4,-6,-4,-6,-4,-5,-5,-5,-5,-5,-5,-5,-6,-5,-6,-5,-7,-4,-8,-4,-8,-4,0,0,-9,-3,-9,-3,-10,-3,-10,-2,-10,-3,-11,-3,-11,-3,-11,-2,-12,-2,-12,-2,-13,-2,-13,-2,-14,-2,-14,-2,-14,-3,-15,-3,-16,-3,-16,-3,-16,-4,-16,-4,-16,-5,-16,-6,-17,-7,-18,-6,-16,-8,-16,-9,0,0,-13,-5,-14,-4,-13,-3,-14,-4,-13,-3,-13,-4,-13,-3,-12,-3,-12,-3,-12,-2,-12,-2,-12,-1,-11,-1,-11,0,-11,0,-11,1,-11,1,-10,1,-10,2,-10,1,-10,1,-10,2,-10,2,-10,3,-10,3,-10,3,0,0,-9,3,-9,4,-9,4,-9,4,-9,4,-9,4,-9,4,-9,4,-10,4,-9,4,-10,5,-9,4,-10,4,-10,4,-10,3,-11,3,-11,2,-11,1,-11,0,-10,-1,-10,-2,-8,-2,-8,-3,-7,-3,-6,-4,-5,-5,0,0]"
CSI_DATA: 2,6,1,1,0,0,0,0,-34,-31,4294813.459,4294812.860,292.479,302.341,302.341,302.341,"[-12,-17,-12,-17,-13,-16,-13,-20,-12,-18,-12,-19,-11,-20,-11,-19,-10,-19,-10,-19,-11,-21,-11,-20,-10,-21,-10,-20,-9,-20,-11,-20,-10,-19,-10,-19,-11,-18,-10,-19,-9,-18,-10,-18,-9,-18,-12,-17,-11,-18,-12,-17,0,0,-12,-16,-12,-16,-13,-16,-13,-14,-13,-15,-14,-14,-14,-14,-14,-13,-15,-13,-17,-13,-18,-13,-18,-13,-18,-13,-20,-12,-20,-12,-22,-13,-22,-13,-23,-13,-23,-14,-23,-15,-25,-17,-25,-16,-26,-18,-27,-18,-26,-21,-26,-22,0,0,-13,-12,-13,-11,-12,-10,-13,-11,-12,-9,-12,-9,-11,-8,-10,-7,-11,-7,-11,-6,-11,-6,-11,-5,-10,-4,-10,-3,-10,-3,-10,-2,-9,-1,-9,0,-10,0,-10,0,-10,1,-10,2,-10,3,-10,4,-11,4,-11,5,0,0,-11,6,-12,6,-12,7,-12,7,-13,8,-13,8,-14,8,-13,8,-14,8,-14,9,-15,10,-15,9,-15,9,-16,9,-16,9,-17,9,-17,9,-17,9,-18,7,-18,7,-19,6,-18,6,-19,5,-19,5,-20,3,-19,2,0,0]"
CSI_DATA: 3,4,1,1,0,0,0,0,-32,-31,4294815.697,4294815.31,291.791,365.814,365.814,365.814,"[25,-5,25,-5,24,-6,27,-4,25,-3,25,-2,24,-2,23,-1,23,0,21,-1,23,1,22,0,21,1,20,0,19,2,19,-1,16,-1,15,0,15,-2,15,-1,14,-1,13,-2,12,-1,12,-4,13,-4,12,-5,0,0,11,-6,11,-7,11,-7,10,-8,11,-8,11,-8,11,-9,11,-8,10,-9,10,-9,10,-10,10,-9,10,-10,11,-10,10,-10,10,-11,10,-10,10,-11,10,-10,10,-10,10,-10,10,-10,10,-9,11,-10,11,-9,10,-8,0,0,-7,-6,-8,-6,-8,-5,-9,-6,-9,-5,-10,-5,-10,-5,-10,-5,-11,-5,-11,-5,-12,-5,-12,-4,-12,-4,-12,-4,-12,-4,-13,-3,-12,-3,-12,-2,-12,-2,-13,-2,-13,-1,-13,0,-13,0,-13,2,-14,1,-14,2,0,0,-14,3,-15,4,-15,5,-15,5,-16,5,-16,6,-16,6,-16,7,-16,7,-17,8,-18,10,-17,9,-18,9,-19,10,-20,11,-21,11,-21,12,-23,11,-23,10,-24,10,-25,9,-24,8,-25,8,-26,9,-26,6,-26,5,0,0]"
CSI_DATA: 4,7,1,1,0,0,0,0,-34,-42,4294809.859,4294809.181,297.408,432.85,432.85,432.85,"[-6,-5,-6,-5,-6,-5,-7,-6,-6,-6,-7,-7,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-8,-8,-8,-8,-8,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-9,-8,-9,-9,-8,-7,-9,-9,-8,-10,-9,-10,-9,0,0,-10,-9,-10,-9,-11,-9,-10,-9,-10,-9,-10,-10,-10,-10,-9,-9,-10,-9,-9,-9,-10,-9,-9,-9,-10,-8,-10,-8,-10,-8,-11,-8,-12,-8,-11,-8,-11,-8,-11,-8,-11,-9,-12,-9,-12,-10,-13,-10,-12,-11,-12,-11,0,0,-2,-2,-2,-2,-2,-2,-1,-3,-1,-3,-1,-4,0,-4,0,-3,0,-4,0,-4,1,-4,1,-5,1,-5,2,-4,2,-4,2,-5,2,-5,2,-5,2,-5,2,-6,2,-6,2,-6,2,-6,2,-6,2,-7,2,-8,0,0,2,-8,2,-9,1,-10,1,-10,2,-10,2,-11,1,-11,1,-11,1,-13,0,-14,-1,-15,-1,-15,-2,-15,-2,-16,-3,-17,-3,-20,-4,-19,-4,-21,-4,-22,-4,-22,-3,-25,-3,-24,-3,-25,-5,-27,-2,-28,-2,-30,0,0]"
CSI_DATA: 5,5,1,1,0,0,0,0,-40,-34,4294812.108,4294811.434,299.794,497.944,497.944,497.944,"[-2,13,-2,13,-1,14,-3,15,-2,14,-2,14,-2,14,-2,13,-2,13,-1,13,-1,15,0,14,0,14,0,13,0,13,1,14,2,12,2,13,4,12,3,13,3,13,5,13,4,12,7,12,7,14,8,13,0,0,10,13,11,13,11,14,12,14,13,15,13,16,13,16,13,16,13,17,13,17,15,19,12,18,12,19,12,19,12,19,12,20,12,20,11,19,10,19,9,18,8,19,8,18,7,18,8,17,7,18,6,16,0,0,3,19,3,19,3,18,3,20,2,18,2,19,1,18,1,17,1,17,2,16,2,18,2,17,2,16,2,16,1,16,3,16,3,16,2,15,3,16,2,16,1,16,2,15,1,15,3,15,2,16,2,16,0,0,2,16,2,15,2,16,2,15,1,15,1,15,0,14,1,14,1,14,2,13,2,14,1,12,2,12,2,12,3,12,4,13,4,12,4,13,4,13,3,14,3,14,3,14,3,15,4,16,2,17,1,17,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-33,-32,590.608,594.137,305.309,1051.994,1051.994,307.170,"[6,-25,6,-25,5,-25,8,-26,8,-24,9,-24,9,-23,9,-22,10,-21,9,-20,10,-22,9,-21,9,-20,9,-19,10,-18,8,-18,7,-17,7,-16,5,-15,6,-15,6,-14,5,-14,5,-13,2,-14,3,-14,1,-14,0,0,0,-13,0,-14,-1,-14,-2,-13,-2,-13,-2,-14,-2,-14,-3,-13,-4,-14,-4,-13,-5,-14,-4,-13,-5,-13,-5,-14,-5,-13,-6,-14,-7,-14,-6,-14,-6,-15,-5,-14,-5,-15,-5,-15,-5,-16,-6,-15,-4,-15,-4,-15,0,0,-11,3,-11,4,-10,5,-12,6,-11,6,-12,6,-11,6,-11,6,-12,6,-11,7,-12,8,-12,8,-11,8,-11,8,-11,8,-11,8,-11,9,-10,8,-10,9,-10,9,-9,9,-9,10,-9,9,-7,11,-8,12,-8,13,0,0,-7,13,-7,13,-7,15,-6,14,-7,15,-6,15,-6,16,-6,16,-6,17,-5,16,-5,18,-5,18,-5,19,-6,21,-6,20,-7,23,-6,21,-8,23,-8,22,-9,22,-10,23,-10,22,-10,22,-11,23,-13,22,-14,22,0,0]"
CSI_DATA: 7,6,2,2,1,1,1,0,-33,-32,588.441,591.970,306.02,1107.184,1107.184,362.360,"[-16,-2,-16,-2,-15,-1,-17,-2,-16,-2,-16,-2,-16,-3,-15,-3,-15,-3,-15,-2,-16,-4,-15,-3,-15,-3,-15,-3,-15,-3,-15,-2,-14,-2,-13,-2,-14,-1,-13,-1,-14,-2,-14,0,-13,-1,-13,1,-14,0,-14,1,0,0,-14,2,-14,2,-14,3,-13,4,-14,3,-14,4,-14,4,-14,4,-15,5,-14,6,-15,6,-15,5,-16,6,-16,7,-16,7,-17,8,-17,8,-17,8,-18,8,-18,8,-20,8,-20,7,-21,7,-21,8,-22,6,-23,5,0,0,-17,-4,-17,-3,-15,-2,-16,-3,-15,-3,-14,-2,-13,-2,-13,-1,-12,-1,-11,0,-11,0,-11,0,-10,1,-9,1,-9,1,-8,2,-8,3,-7,3,-6,4,-6,4,-6,5,-5,5,-5,6,-4,7,-4,7,-4,8,0,0,-3,9,-3,9,-3,10,-2,10,-3,10,-3,11,-3,11,-2,12,-3,13,-2,13,-2,14,-3,14,-3,14,-3,15,-4,15,-4,17,-4,16,-5,17,-5,17,-6,16,-7,17,-8,15,-8,16,-9,16,-10,15,-11,15,0,0]"
CSI_DATA: 8,7,2,2,1,1,1,0,-35,-39,584.763,588.292,310.819,1171.939,1171.939,427.115,"[-5,-6,-5,-7,-6,-6,-6,-8,-6,-8,-6,-8,-6,-8,-6,-8,-6,-9,-6,-9,-6,-10,-6,-10,-6,-10,-7,-10,-6,-10,-7,-10,-7,-9,-6,-10,-7,-10,-7,-10,-6,-10,-7,-10,-6,-10,-8,-10,-7,-11,-8,-10,0,0,-8,-10,-8,-11,-9,-11,-8,-11,-8,-11,-8,-12,-8,-12,-7,-11,-7,-11,-7,-11,-8,-12,-7,-11,-8,-11,-7,-11,-7,-11,-8,-11,-8,-11,-7,-10,-7,-10,-7,-10,-7,-11,-7,-11,-8,-11,-8,-12,-7,-11,-7,-12,0,0,-3,2,-2,3,-2,2,-2,2,-1,2,0,1,0,1,1,1,1,0,1,0,2,0,2,-1,2,-1,3,-2,3,-2,4,-3,4,-3,4,-3,4,-4,4,-4,4,-5,4,-6,4,-5,4,-7,4,-7,4,-8,0,0,4,-10,4,-10,4,-11,4,-11,4,-12,4,-13,4,-13,3,-14,3,-15,3,-15,2,-18,2,-17,2,-18,2,-20,2,-20,2,-23,1,-22,2,-24,3,-24,4,-24,4,-26,4,-25,5,-26,4,-27,7,-28,8,-28,0,0]"
CSI_DATA: 9,5,2,2,1,1,1,0,-41,-33,587.06,590.535,313.214,1236.177,1236.177,491.353,"[5,2,5,2,6,2,6,2,6,2,6,2,6,2,7,2,7,1,7,1,8,1,8,0,8,0,8,-1,8,0,9,-2,8,-2,8,-3,8,-4,8,-4,9,-4,9,-5,9,-5,8,-7,9,-7,9,-8,0,0,9,-9,9,-11,9,-12,9,-11,10,-12,10,-13,11,-13,11,-13,12,-14,11,-14,11,-16,12,-15,12,-15,13,-15,13,-14,14,-16,13,-15,14,-14,14,-13,14,-13,15,-12,15,-11,14,-10,14,-11,15,-9,14,-8,0,0,12,16,13,17,13,15,13,18,12,16,12,18,11,16,10,16,10,16,10,14,11,16,11,16,11,15,10,15,10,16,10,15,11,14,9,14,10,14,9,15,9,15,9,15,8,14,10,14,10,15,10,15,0,0,9,14,8,14,9,15,8,13,8,14,7,14,6,13,6,12,6,13,6,11,7,11,6,11,7,10,7,9,7,9,8,10,8,8,8,9,8,9,8,9,8,9,8,9,9,9,10,9,10,11,10,11,0,0]"
CSI_DATA: 10,3,2,2,1,1,2,0,-35,-35,1327.952,1331.449,13.453,1499.910,1499.910,15.78,"[7,9,7,8,7,8,7,8,6,8,6,7,6,6,5,6,5,6,5,5,6,5,6,4,6,4,6,3,6,3,6,2,5,1,5,1,6,1,6,1,6,0,6,0,6,0,6,-2,6,-2,6,-3,0,0,6,-3,6,-4,6,-5,6,-5,7,-5,7,-6,7,-6,7,-6,7,-7,8,-8,8,-9,8,-8,9,-9,9,-9,9,-9,10,-10,11,-10,11,-10,11,-9,12,-9,13,-9,13,-8,14,-8,15,-9,15,-7,15,-6,0,0,-11,7,-10,8,-10,8,-10,8,-10,8,-9,8,-9,8,-8,8,-8,8,-7,8,-7,9,-6,9,-6,9,-5,9,-5,9,-4,10,-3,9,-3,9,-2,9,-2,10,-2,10,-1,10,-2,9,0,10,0,10,0,10,0,0,1,10,1,10,2,10,2,10,2,10,2,11,2,10,2,10,3,11,3,11,3,11,3,11,2,12,2,12,2,12,2,13,1,13,0,13,-1,13,-2,12,-3,12,-4,12,-4,12,-5,11,-6,9,-6,8,0,0]"
