CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-38,-34,4294811.550,4294811.371,0.116,17.778,17.778,17.778,"[2,15,2,14,3,13,2,15,1,13,1,13,1,12,1,11,0,12,1,10,1,11,1,10,1,10,1,10,1,9,2,9,2,8,2,7,3,8,2,8,2,7,3,7,2,6,4,7,4,7,4,7,0,0,4,6,4,6,5,6,4,5,4,6,4,5,5,5,5,5,5,4,5,4,7,4,7,4,7,4,8,4,8,4,9,4,9,5,10,5,10,5,10,6,10,7,10,8,11,9,11,9,11,11,10,11,0,0,-10,-11,-11,-11,-11,-9,-12,-10,-11,-9,-11,-9,-11,-8,-10,-7,-10,-7,-10,-5,-11,-6,-11,-4,-11,-4,-11,-3,-11,-3,-11,-1,-11,-1,-10,0,-11,1,-11,1,-11,1,-11,2,-11,2,-10,4,-11,3,-11,4,0,0,-11,5,-11,5,-11,6,-11,6,-11,6,-11,6,-11,6,-11,6,-11,6,-11,6,-12,7,-12,6,-12,6,-13,6,-13,6,-14,6,-14,6,-15,4,-15,3,-15,2,-16,2,-15,0,-16,-1,-16,-1,-16,-3,-15,-4,0,0]"
CSI_DATA: 2,5,1,1,0,0,0,0,-33,-31,4294810.599,4294810.436,292.449,301.750,301.750,301.750,"[-20,8,-21,9,-20,10,-23,10,-21,9,-22,9,-22,9,-20,8,-21,8,-20,8,-23,8,-22,8,-21,8,-21,7,-21,6,-21,8,-19,8,-19,7,-19,8,-19,7,-19,6,-18,7,-17,6,-17,8,-18,8,-18,9,0,0,-17,9,-17,9,-17,10,-16,9,-16,9,-17,9,-17,9,-16,8,-16,9,-15,8,-15,9,-15,7,-15,7,-15,8,-14,8,-15,8,-14,8,-14,7,-14,7,-13,6,-13,6,-13,5,-13,4,-12,5,-13,4,-12,3,0,0,4,15,4,15,6,15,5,17,5,16,5,17,5,17,5,17,5,17,6,16,6,19,6,18,6,18,5,18,4,18,6,20,5,18,4,18,5,18,3,19,2,19,3,18,1,18,4,18,2,19,3,19,0,0,3,18,2,18,2,18,2,18,1,17,0,17,0,16,0,16,0,15,0,14,1,15,0,13,1,13,1,12,1,12,2,12,2,11,2,11,3,11,3,10,3,11,4,10,4,10,5,11,5,11,5,12,0,0]"
CSI_DATA: 3,6,1,1,0,0,0,0,-40,-31,4294812.02,4294811.861,292.544,350.377,350.377,350.377,"[6,-12,4,-13,2,-14,3,-16,2,-16,2,-17,0,-17,-1,-18,-1,-18,-2,-18,-4,-21,-5,-22,-5,-21,-6,-21,-5,-22,-7,-22,-8,-21,-7,-19,-8,-20,-7,-20,-6,-20,-7,-18,-5,-17,-8,-17,-7,-17,-6,-16,0,0,-6,-12,-5,-11,-5,-10,-5,-8,-3,-7,-2,-6,-1,-4,-1,-3,1,-3,2,-1,3,0,4,2,6,4,8,6,9,6,12,9,13,10,14,13,15,13,15,16,17,19,16,20,18,21,20,23,17,26,18,27,0,0,9,-12,8,-12,6,-12,6,-12,5,-11,5,-11,4,-11,3,-10,3,-10,1,-10,1,-11,0,-11,-1,-10,-2,-10,-2,-9,-3,-10,-3,-9,-4,-8,-5,-8,-5,-8,-6,-8,-6,-7,-7,-7,-8,-5,-9,-6,-10,-5,0,0,-10,-4,-11,-5,-13,-4,-12,-3,-14,-3,-15,-3,-15,-3,-16,-2,-17,-2,-18,-2,-19,-1,-19,-2,-20,-2,-21,-3,-21,-3,-23,-3,-23,-3,-23,-4,-23,-5,-22,-7,-23,-8,-22,-8,-23,-9,-23,-8,-22,-11,-21,-12,0,0]"
CSI_DATA: 4,5,2,2,1,1,1,0,-32,-32,587.485,590.514,305.493,1051.916,1051.916,307.271,"[24,-3,25,-4,23,-6,27,-4,24,-3,25,-3,25,-3,23,-2,24,-2,22,-2,25,-2,24,-3,24,-2,24,-2,24,-1,23,-3,22,-4,21,-2,21,-3,21,-2,21,-1,21,-3,19,-2,19,-5,21,-4,21,-5,0,0,19,-6,19,-5,20,-6,18,-6,20,-6,20,-6,20,-6,19,-5,19,-6,18,-5,20,-7,19,-5,19,-5,19,-5,18,-5,19,-5,19,-5,19,-4,18,-3,17,-2,18,-1,17,0,16,0,16,0,15,1,14,1,0,0,5,-17,4,-17,3,-17,5,-19,5,-18,5,-18,5,-18,5,-17,5,-18,4,-17,5,-20,5,-20,5,-19,5,-18,7,-18,6,-20,5,-18,6,-18,5,-18,6,-18,8,-18,7,-17,8,-16,5,-18,7,-18,7,-19,0,0,7,-17,7,-17,7,-17,7,-16,7,-15,7,-15,7,-14,7,-13,7,-14,6,-13,6,-14,6,-12,5,-12,4,-12,4,-12,4,-12,3,-12,3,-12,3,-12,2,-12,2,-12,2,-12,1,-13,1,-13,2,-14,2,-14,0,0]"
CSI_DATA: 5,6,2,2,1,1,1,0,-42,-31,588.913,591.942,305.516,1103.857,1103.857,359.212,"[5,5,6,5,7,3,8,3,8,2,10,2,10,0,11,-1,11,-1,11,-3,14,-4,14,-6,13,-6,14,-6,14,-7,13,-9,13,-9,12,-8,12,-10,14,-9,12,-9,12,-10,11,-8,10,-10,11,-10,9,-9,0,0,8,-8,7,-7,6,-7,5,-5,6,-5,6,-4,7,-3,5,-2,5,0,6,2,7,3,7,4,6,5,8,7,8,10,10,12,10,13,11,16,11,17,11,19,11,20,11,21,13,24,15,25,12,27,13,29,0,0,8,12,8,11,8,9,9,10,8,8,8,7,8,7,7,6,8,5,8,4,8,4,8,2,8,2,8,1,8,1,8,-1,7,-2,7,-2,7,-3,7,-3,7,-4,7,-5,7,-5,6,-7,7,-8,6,-10,0,0,6,-10,7,-11,6,-12,5,-12,6,-13,6,-14,7,-15,6,-16,6,-17,6,-17,6,-20,7,-19,7,-19,8,-21,8,-21,9,-22,9,-22,10,-23,11,-23,12,-22,13,-23,14,-22,15,-22,15,-23,18,-21,19,-20,0,0]"
CSI_DATA: 6,6,3,3,2,2,2,0,-42,-32,1328.908,1331.972,305.493,1791.823,1791.823,307.169,"[0,8,2,7,5,7,6,8,7,6,8,7,10,5,11,5,12,5,14,3,18,3,18,2,19,1,19,1,21,2,22,-1,21,-1,19,-1,22,-2,22,0,22,0,20,-2,19,-2,19,-4,19,-3,19,-4,0,0,15,-4,15,-3,14,-4,12,-3,12,-2,11,-1,10,-1,8,0,7,1,7,3,5,4,4,5,4,6,2,9,1,11,1,13,0,14,-1,17,-3,18,-4,19,-6,21,-7,22,-8,24,-8,26,-11,26,-12,27,0,0,-12,9,-11,9,-9,9,-10,9,-8,8,-8,8,-8,8,-7,7,-7,8,-5,7,-5,8,-4,8,-3,7,-2,7,-2,7,-1,7,0,6,0,6,1,6,2,6,2,6,3,6,3,5,5,4,6,5,6,5,0,0,7,4,8,3,10,3,10,3,11,3,12,3,12,3,13,3,14,3,14,2,16,2,16,2,16,3,17,3,18,4,19,4,19,4,20,5,20,6,19,7,20,8,19,8,19,9,20,9,19,11,18,12,0,0]"
CSI_DATA: 7,5,3,3,2,2,2,0,-32,-31,1327.479,1330.543,305.433,1835.940,1835.940,351.286,"[-10,20,-9,21,-7,20,-10,22,-9,20,-10,20,-10,20,-9,18,-10,19,-9,18,-11,20,-10,20,-10,19,-10,19,-11,18,-9,19,-8,17,-9,16,-8,17,-9,17,-9,16,-7,17,-8,15,-6,16,-7,17,-6,17,0,0,-5,17,-6,16,-5,17,-4,16,-5,16,-5,17,-5,16,-4,16,-4,16,-4,15,-4,16,-5,15,-4,15,-4,15,-4,15,-4,16,-4,16,-4,15,-5,14,-5,13,-6,13,-6,12,-6,12,-6,12,-6,11,-6,11,0,0,7,12,8,12,8,11,9,14,9,13,9,14,9,13,9,13,9,14,10,12,11,15,11,14,11,15,10,15,9,16,11,15,11,15,9,15,10,15,10,16,9,17,9,16,8,16,10,15,9,17,9,17,0,0,9,16,8,17,8,17,7,15,7,16,6,16,6,15,5,15,5,15,5,14,6,14,5,12,5,12,5,12,5,11,6,11,6,11,6,11,6,10,6,10,6,10,7,9,7,10,8,10,7,11,7,11,0,0]"
CSI_DATA: 8,6,4,4,3,3,3,0,-41,-31,2068.910,2071.993,305.650,2531.782,2531.782,307.136,"[6,-3,6,-5,5,-6,6,-8,5,-9,5,-11,4,-12,3,-13,4,-14,2,-15,3,-17,1,-18,1,-19,1,-19,1,-20,-1,-20,-1,-20,-1,-19,-1,-20,-1,-20,0,-20,-1,-19,-1,-19,-3,-17,-2,-18,-2,-18,0,0,-3,-15,-2,-14,-3,-13,-2,-10,-2,-10,-2,-10,0,-9,0,-7,0,-7,1,-5,3,-4,3,-3,5,-2,7,-1,8,1,10,1,11,2,12,3,13,5,15,6,16,7,17,10,19,11,21,11,21,14,21,15,0,0,-12,10,-11,9,-9,10,-10,10,-9,9,-8,8,-7,8,-6,8,-6,8,-5,8,-5,8,-4,8,-3,7,-2,7,-2,7,-1,8,0,6,0,6,2,6,2,6,3,6,3,6,4,5,5,5,6,5,7,5,0,0,8,4,9,4,10,3,10,3,11,3,11,3,13,3,13,3,14,3,15,3,16,3,16,3,17,4,18,4,18,5,19,4,19,5,20,6,19,7,19,7,20,9,19,9,19,10,19,10,18,12,18,12,0,0]"
CSI_DATA: 9,6,5,5,4,4,4,0,-42,-31,2809.25,2815.591,315.574,3282.639,3282.639,317.994,"[0,6,0,6,2,6,3,7,3,7,5,7,5,6,6,6,6,7,7,6,9,7,10,6,11,6,11,6,11,6,12,5,11,4,11,5,12,4,12,4,12,4,11,3,10,3,11,3,10,3,10,2,0,0,8,2,7,1,6,2,6,1,5,2,4,2,3,2,2,3,1,3,1,4,0,5,-2,5,-2,5,-3,7,-4,8,-6,9,-6,10,-7,11,-8,12,-9,12,-11,13,-11,13,-12,14,-14,16,-14,15,-15,16,0,0,-10,11,-9,11,-7,10,-8,11,-7,10,-6,10,-6,9,-5,9,-5,9,-3,9,-3,9,-2,9,-1,8,0,8,0,7,1,8,1,7,2,6,3,6,3,6,4,7,5,6,5,6,6,5,7,5,8,5,0,0,8,4,9,4,10,4,10,4,12,3,12,3,13,3,13,3,14,3,15,3,17,3,16,3,17,3,18,4,18,5,20,5,19,5,20,6,20,7,19,7,20,9,19,9,19,10,20,9,19,12,18,12,0,0]"
CSI_DATA: 10,5,4,4,5,3,5,0,-33,-31,3547.431,3554.06,312.395,4021.737,4021.737,317.92,"[-25,-1,-26,0,-25,1,-28,-1,-26,-1,-26,-2,-26,-2,-24,-2,-25,-3,-24,-2,-26,-3,-25,-2,-25,-3,-24,-3,-24,-4,-24,-2,-22,-2,-21,-2,-21,-1,-21,-3,-21,-3,-20,-1,-19,-3,-20,0,-21,-1,-20,1,0,0,-19,1,-19,1,-20,2,-19,2,-19,1,-19,2,-19,1,-18,2,-19,2,-18,2,-19,3,-18,1,-18,1,-18,2,-17,2,-18,2,-17,2,-17,1,-17,1,-16,0,-16,0,-16,-1,-15,-1,-15,0,-14,-2,-14,-1,0,0,15,2,16,2,16,0,18,1,17,1,17,1,18,1,17,1,17,2,17,1,20,1,19,1,20,1,19,1,19,3,20,1,19,1,18,2,19,1,19,3,19,4,19,3,18,5,19,1,20,4,20,3,0,0,19,3,19,4,19,4,18,3,17,4,17,5,16,5,16,5,15,5,14,4,15,4,13,4,12,4,12,4,12,3,12,2,12,2,12,2,11,1,11,1,11,0,11,0,12,0,12,-2,12,-1,12,-1,0,0]"
