CSI_DATA: gC, idS, sC, sC_M, bc1, bc2, bcM1, retry, RSSI1, RSSI2, tCSI1_S, tCSI2_S, tdma_S, t_M(ms), dt_rxM, tin_cycle, [data]
CSI_DATA: 1,3,1,1,0,0,0,0,-38,-34,4294812.957,4294812.589,0.117,17.779,17.779,17.779,"[-16,6,-16,7,-15,8,-17,7,-16,6,-16,6,-16,6,-15,6,-15,6,-14,6,-16,6,-15,7,-16,7,-15,6,-16,6,-15,7,-14,7,-14,6,-15,7,-16,7,-16,6,-15,7,-14,5,-14,7,-16,6,-15,7,0,0,-15,7,-15,6,-16,7,-15,7,-16,6,-16,6,-15,5,-15,5,-15,5,-14,5,-15,5,-13,3,-14,4,-14,4,-12,4,-13,4,-13,4,-12,5,-12,5,-12,4,-12,4,-12,5,-13,4,-14,5,-14,4,-14,4,0,0,8,-10,8,-11,6,-11,8,-12,6,-11,7,-11,6,-11,5,-10,5,-10,4,-10,4,-11,3,-11,3,-10,2,-10,2,-10,0,-11,-1,-10,-1,-9,-1,-10,-1,-10,-2,-10,-3,-9,-2,-10,-4,-9,-5,-10,-6,-9,0,0,-6,-9,-6,-9,-7,-9,-7,-8,-7,-9,-8,-10,-8,-10,-8,-9,-9,-9,-9,-9,-10,-10,-9,-10,-10,-11,-9,-11,-9,-11,-10,-12,-9,-12,-8,-13,-7,-13,-6,-13,-6,-14,-5,-14,-4,-14,-4,-14,-1,-14,0,-14,0,0]"
CSI_DATA: 2,5,1,1,0,0,0,0,-35,-67,4294812.18,4294811.647,292.16,302.66,302.66,302.66,"[-18,-11,-18,-11,-18,-10,-19,-12,-18,-11,-17,-12,-17,-11,-15,-10,-16,-11,-15,-10,-17,-11,-16,-10,-15,-10,-15,-9,-14,-10,-15,-8,-14,-7,-13,-7,-14,-7,-13,-8,-13,-7,-13,-6,-12,-6,-13,-5,-13,-6,-13,-4,0,0,-13,-4,-13,-4,-14,-4,-13,-3,-13,-4,-13,-4,-13,-4,-13,-4,-13,-3,-12,-4,-13,-3,-12,-4,-12,-4,-12,-4,-11,-4,-12,-4,-11,-5,-11,-5,-10,-5,-9,-6,-9,-6,-7,-7,-7,-7,-7,-7,-5,-7,-4,-7,0,0,-1,-80,11,-57,-11,-90,24,-70,-15,-73,-15,-81,16,-80,18,-81,1,-68,-28,-91,-1,-92,-13,-91,-45,-89,-17,-78,16,-70,-32,-96,-30,-85,-12,-57,-39,-56,12,-82,20,-68,-26,-68,11,-44,-56,-54,-24,-83,-30,-68,0,0,-54,-57,-16,-73,-61,-60,-50,-60,9,-39,-29,-49,-39,-67,-39,-26,-24,-50,-45,-9,-44,-35,-6,-16,-35,-30,-19,-19,-36,-33,-50,7,-43,-34,-48,-20,-41,-20,-30,-12,-27,-7,-1,-19,-23,-13,-7,-19,-1,16,-10,-1,0,0]"
CSI_DATA: 3,4,1,1,0,0,0,0,-38,-32,4294815.611,4294815.243,292.154,366.609,366.609,366.609,"[-13,-10,-14,-9,-13,-8,-14,-10,-12,-8,-12,-9,-12,-8,-11,-7,-10,-7,-10,-6,-10,-6,-9,-6,-9,-5,-8,-5,-7,-5,-6,-5,-6,-4,-5,-4,-4,-4,-3,-4,-2,-4,-2,-5,-1,-5,-1,-5,0,-6,0,-6,0,0,1,-7,2,-8,3,-9,3,-9,4,-11,5,-12,5,-12,5,-13,6,-14,6,-15,6,-17,8,-17,8,-18,8,-19,8,-19,9,-22,9,-22,9,-23,10,-22,10,-23,11,-24,11,-23,11,-24,10,-27,12,-26,12,-26,0,0,-2,8,-1,8,0,8,0,10,0,10,1,10,1,11,1,10,1,11,2,11,2,12,3,12,3,12,4,12,3,13,5,13,5,12,5,12,6,12,6,13,6,13,7,12,7,12,9,11,10,13,11,13,0,0,12,12,12,13,14,13,14,12,14,13,15,13,16,13,16,13,17,13,17,13,19,13,18,13,18,13,20,14,20,14,22,14,22,15,22,16,21,16,21,17,21,18,20,18,20,19,21,19,19,21,18,21,0,0]"
CSI_DATA: 4,6,1,1,0,0,0,0,-38,-31,4294813.401,4294813.72,292.536,429.613,429.613,429.613,"[-19,-4,-19,-3,-18,-1,-20,-2,-18,-1,-19,-2,-18,-1,-17,0,-17,0,-16,2,-18,2,-18,4,-18,4,-18,4,-19,4,-18,6,-17,6,-17,6,-18,8,-18,7,-19,6,-18,7,-18,6,-18,8,-19,7,-19,8,0,0,-17,7,-17,6,-17,6,-14,6,-15,5,-14,4,-13,4,-11,3,-10,3,-7,2,-7,2,-4,1,-2,1,0,2,2,2,4,3,6,4,9,5,10,6,12,8,13,10,14,12,14,15,17,16,15,19,14,21,0,0,12,4,11,3,11,2,12,2,10,2,10,1,10,0,9,0,9,0,8,-1,9,-2,8,-3,8,-3,6,-3,6,-3,5,-5,4,-6,4,-5,3,-6,3,-6,3,-7,2,-7,1,-7,-1,-8,-1,-9,-2,-9,0,0,-3,-10,-4,-11,-5,-11,-6,-12,-6,-13,-6,-13,-7,-14,-7,-15,-8,-16,-8,-16,-9,-18,-8,-18,-8,-18,-8,-19,-8,-19,-8,-21,-8,-20,-7,-21,-6,-21,-5,-21,-4,-22,-3,-20,-3,-21,-3,-21,-1,-21,0,-20,0,0]"
CSI_DATA: 5,3,2,2,1,1,1,0,-36,-35,587.717,591.481,13.776,760.81,760.81,15.326,"[12,-7,12,-7,11,-9,13,-9,12,-8,12,-9,13,-8,12,-8,13,-9,12,-9,14,-10,13,-11,14,-11,14,-11,14,-10,14,-12,13,-11,14,-10,13,-11,14,-10,15,-10,14,-11,14,-10,13,-12,15,-12,14,-12,0,0,14,-11,14,-12,15,-12,13,-12,14,-11,15,-11,14,-11,14,-10,14,-11,13,-10,14,-11,13,-9,13,-9,13,-9,12,-9,12,-9,13,-9,12,-9,12,-8,12,-8,12,-8,12,-7,12,-7,12,-8,12,-6,12,-6,0,0,9,8,10,7,11,6,11,7,10,6,10,6,10,5,10,4,10,4,9,2,10,2,9,1,9,0,9,-1,8,-1,8,-3,7,-4,7,-4,7,-5,6,-6,7,-5,6,-7,6,-7,4,-8,5,-9,4,-10,0,0,3,-11,3,-12,2,-12,1,-13,2,-13,1,-14,1,-15,1,-15,1,-16,1,-16,0,-18,1,-17,1,-18,1,-19,2,-19,2,-20,3,-20,3,-20,5,-20,6,-20,7,-20,8,-19,9,-19,9,-19,11,-18,12,-17,0,0]"
CSI_DATA: 6,4,2,2,1,1,1,0,-38,-31,590.375,594.140,305.890,1052.91,1052.91,307.336,"[-6,14,-5,13,-4,13,-5,13,-4,12,-4,11,-3,10,-2,9,-2,9,-1,8,-1,8,0,7,1,6,1,5,1,5,2,5,3,3,3,3,4,2,4,2,5,1,5,1,5,1,6,-1,7,-1,7,-2,0,0,8,-3,9,-4,10,-5,10,-5,11,-5,11,-6,13,-6,13,-6,13,-7,14,-7,15,-8,15,-6,16,-7,16,-7,16,-7,17,-7,18,-7,17,-5,17,-5,17,-4,18,-3,17,-3,17,-3,17,-3,16,-1,16,-1,0,0,7,-8,6,-9,5,-10,6,-11,6,-11,7,-12,6,-12,6,-13,7,-13,6,-13,7,-14,7,-15,7,-15,7,-15,8,-15,7,-17,6,-16,6,-15,6,-16,6,-16,7,-16,6,-16,7,-16,4,-17,5,-19,4,-19,0,0,3,-19,3,-20,2,-20,2,-20,2,-20,1,-21,2,-21,1,-21,1,-22,0,-22,0,-23,0,-22,0,-23,0,-24,0,-24,-1,-26,-1,-26,-1,-26,0,-27,1,-27,2,-28,2,-27,3,-29,3,-28,6,-29,7,-28,0,0]"
CSI_DATA: 7,6,2,2,1,1,1,0,-39,-32,588.208,591.973,306.209,1101.588,1101.588,356.833,"[14,-3,15,-4,15,-5,17,-5,16,-5,17,-6,16,-7,16,-8,17,-9,16,-10,19,-11,18,-14,19,-13,20,-15,22,-13,23,-17,22,-16,23,-15,24,-17,26,-15,28,-13,26,-14,27,-12,26,-16,29,-14,28,-15,0,0,27,-12,27,-11,27,-12,25,-11,26,-10,24,-8,23,-8,20,-7,20,-7,16,-6,15,-7,12,-6,11,-6,7,-6,5,-6,1,-7,-1,-8,-4,-10,-6,-12,-8,-14,-10,-16,-12,-18,-13,-23,-17,-26,-15,-29,-14,-32,0,0,-9,12,-8,11,-6,11,-6,11,-6,11,-5,10,-5,10,-4,9,-4,9,-2,8,-2,8,-1,8,0,7,1,6,0,6,1,6,2,5,3,4,3,4,3,4,4,3,5,3,5,2,6,1,7,1,8,0,0,0,9,-1,10,-1,10,-2,10,-2,11,-3,12,-3,13,-3,13,-3,14,-3,14,-4,16,-5,16,-4,16,-4,17,-4,17,-3,18,-3,18,-3,18,-2,18,-1,18,0,19,1,18,1,18,1,18,1,17,4,17,4,0,0]"
CSI_DATA: 8,5,2,2,1,1,1,0,-34,-30,586.782,590.546,305.752,1164.298,1164.298,419.543,"[26,3,26,2,25,1,28,3,25,3,25,3,24,3,23,3,23,3,21,2,24,2,23,1,22,2,22,2,22,3,21,0,20,0,19,1,20,0,19,1,19,1,19,0,17,1,17,-2,19,-1,18,-2,0,0,17,-2,17,-1,18,-2,16,-2,17,-1,16,-1,16,-1,15,-1,15,-1,14,-1,15,0,13,0,13,1,13,1,11,1,11,1,11,2,10,2,9,3,8,2,7,3,6,3,5,3,5,2,4,2,3,2,0,0,-14,-12,-14,-12,-15,-11,-16,-13,-14,-13,-14,-13,-15,-13,-14,-12,-14,-13,-14,-12,-15,-14,-15,-13,-15,-13,-15,-13,-14,-14,-16,-13,-14,-12,-14,-12,-14,-12,-14,-13,-14,-14,-14,-13,-13,-13,-15,-11,-15,-13,-15,-13,0,0,-15,-12,-14,-13,-15,-13,-14,-12,-14,-13,-14,-13,-13,-13,-12,-13,-12,-13,-12,-13,-13,-13,-11,-12,-11,-12,-12,-12,-10,-12,-11,-12,-11,-11,-10,-11,-10,-11,-9,-11,-9,-11,-9,-10,-9,-10,-10,-10,-9,-10,-9,-10,0,0]"
CSI_DATA: 9,5,3,3,2,2,2,0,-33,-32,1326.797,1330.542,305.530,1792.82,1792.82,307.326,"[-12,13,-12,13,-10,13,-13,14,-11,13,-12,13,-11,13,-11,12,-11,13,-10,12,-11,14,-10,14,-10,14,-10,14,-11,14,-9,15,-8,14,-9,13,-9,15,-9,14,-9,14,-8,15,-9,13,-8,16,-9,16,-8,17,0,0,-8,16,-8,16,-8,18,-7,16,-9,17,-9,17,-9,17,-9,16,-9,16,-9,15,-9,17,-9,15,-10,15,-9,15,-9,14,-9,15,-10,15,-10,14,-10,13,-10,12,-11,12,-11,11,-11,11,-11,11,-11,9,-10,9,0,0,14,-11,14,-11,14,-12,16,-12,15,-12,15,-11,15,-11,15,-11,15,-11,15,-12,17,-13,15,-13,16,-13,15,-12,16,-11,16,-15,14,-13,16,-12,15,-13,16,-13,17,-12,16,-12,17,-11,15,-13,17,-13,17,-13,0,0,16,-13,17,-13,16,-13,17,-13,17,-12,17,-11,17,-11,17,-10,16,-10,17,-10,17,-11,16,-9,15,-9,15,-8,15,-9,14,-9,15,-9,14,-8,14,-7,12,-7,13,-6,12,-6,12,-6,11,-7,11,-6,11,-6,0,0]"
CSI_DATA: 10,4,3,3,2,2,2,0,-40,-32,1330.391,1334.137,305.670,1849.797,1849.797,365.41,"[-9,-13,-10,-12,-9,-11,-10,-11,-9,-10,-8,-10,-8,-9,-8,-7,-7,-6,-7,-5,-7,-6,-7,-4,-6,-4,-6,-2,-5,-1,-5,0,-4,1,-4,1,-3,3,-2,4,-2,5,-1,6,-1,6,1,7,1,9,3,9,0,0,4,11,5,12,7,14,7,14,8,16,8,17,10,19,10,19,10,20,10,21,12,23,11,23,10,24,12,25,11,24,12,27,11,26,13,27,11,27,12,27,12,28,12,28,11,29,13,30,11,30,10,31,0,0,6,-1,6,-2,7,-3,8,-3,8,-4,8,-4,9,-4,9,-4,9,-4,9,-5,11,-6,10,-7,10,-7,9,-7,10,-6,10,-9,9,-9,9,-8,8,-10,9,-10,9,-10,8,-11,8,-11,6,-13,8,-14,6,-15,0,0,6,-16,6,-18,5,-18,5,-19,5,-19,5,-21,5,-21,4,-22,4,-23,3,-24,3,-26,3,-25,3,-26,3,-27,3,-28,3,-29,3,-30,4,-31,5,-31,6,-31,8,-32,8,-30,9,-32,8,-33,11,-31,11,-30,0,0]"
